url_path,views_total,views_unique
/inseq-team/inseq,183,81
/inseq-team/inseq/blob/main/examples/inseq_tutorial.ipynb,33,21
/inseq-team/inseq/issues,22,6
/inseq-team/inseq/tree/main,19,11
/inseq-team/inseq/tree/main/examples,15,8
/inseq-team/inseq/tree/main/inseq,14,9
/inseq-team/inseq/blob/1078e1917834f00139dd369e7eb3e48abfed795c/inseq/models/__init__.py,7,2
/inseq-team/inseq/tree/main/inseq/attr,6,5
/inseq-team/inseq/tree/1078e1917834f00139dd369e7eb3e48abfed795c,6,4
/inseq-team/inseq/issues/191,6,2
