time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-09 00:00:00+00:00,13,8,39,16
2026-04-10 00:00:00+00:00,8,8,19,11
2026-04-11 00:00:00+00:00,13,6,3,3
2026-04-12 00:00:00+00:00,2,2,4,2
2026-04-13 00:00:00+00:00,40,5,15,9
2026-04-14 00:00:00+00:00,13,4,7,6
2026-04-15 00:00:00+00:00,8,4,5,5
2026-04-16 00:00:00+00:00,15,3,6,6
2026-04-17 00:00:00+00:00,7,3,8,8
2026-04-18 00:00:00+00:00,17,6,4,4
2026-04-19 00:00:00+00:00,10,6,14,13
2026-04-20 00:00:00+00:00,7,2,22,12
2026-04-21 00:00:00+00:00,10,5,15,11
2026-04-22 00:00:00+00:00,76,32,89,13
