time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-01-30 00:00:00+00:00,25,14,137,18
2024-01-31 00:00:00+00:00,22,10,86,19
2024-02-01 00:00:00+00:00,6,3,58,18
2024-02-02 00:00:00+00:00,4,2,132,14
2024-02-03 00:00:00+00:00,4,3,59,12
2024-02-04 00:00:00+00:00,2,1,138,12
2024-02-05 00:00:00+00:00,9,4,119,14
2024-02-06 00:00:00+00:00,38,18,120,20
2024-02-07 00:00:00+00:00,23,13,147,24
2024-02-08 00:00:00+00:00,19,8,53,17
2024-02-09 00:00:00+00:00,12,5,44,16
2024-02-10 00:00:00+00:00,6,4,4,3
2024-02-11 00:00:00+00:00,3,2,34,3
2024-02-12 00:00:00+00:00,17,10,58,10
