time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-05-25 00:00:00+00:00,3,1,6,5
2025-05-26 00:00:00+00:00,2,1,17,10
2025-05-27 00:00:00+00:00,28,15,85,19
2025-05-28 00:00:00+00:00,7,5,25,10
2025-05-29 00:00:00+00:00,4,1,16,7
2025-05-30 00:00:00+00:00,10,2,24,12
2025-05-31 00:00:00+00:00,5,2,13,7
2025-06-01 00:00:00+00:00,4,2,33,21
2025-06-02 00:00:00+00:00,70,13,38,16
2025-06-03 00:00:00+00:00,20,7,38,8
2025-06-04 00:00:00+00:00,16,6,22,6
2025-06-05 00:00:00+00:00,56,12,58,14
2025-06-06 00:00:00+00:00,24,4,22,11
2025-06-07 00:00:00+00:00,8,4,6,4
