time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-03-30 00:00:00+00:00,31.0,10.0,33,7
2025-03-31 00:00:00+00:00,9.0,6.0,90,8
2025-04-01 00:00:00+00:00,31.0,5.0,32,17
2025-04-02 00:00:00+00:00,15.0,4.0,11,7
2025-04-03 00:00:00+00:00,7.0,5.0,30,10
2025-04-04 00:00:00+00:00,18.0,9.0,19,11
2025-04-05 00:00:00+00:00,5.0,2.0,8,5
2025-04-06 00:00:00+00:00,11.0,5.0,5,5
2025-04-07 00:00:00+00:00,4.0,3.0,64,19
2025-04-08 00:00:00+00:00,8.0,4.0,43,15
2025-04-09 00:00:00+00:00,1.0,1.0,59,17
2025-04-10 00:00:00+00:00,17.0,6.0,37,13
2025-04-11 00:00:00+00:00,27.0,4.0,14,12
2025-04-12 00:00:00+00:00,,,5,5
