time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-20 00:00:00+00:00,15,9,14,13
2026-03-21 00:00:00+00:00,6,5,12,6
2026-03-22 00:00:00+00:00,14,10,6,5
2026-03-23 00:00:00+00:00,18,12,3,3
2026-03-24 00:00:00+00:00,31,22,3,3
2026-03-25 00:00:00+00:00,4,4,24,12
2026-03-26 00:00:00+00:00,27,22,16,11
2026-03-27 00:00:00+00:00,26,26,17,13
2026-03-28 00:00:00+00:00,9,4,9,6
2026-03-29 00:00:00+00:00,16,7,9,6
2026-03-30 00:00:00+00:00,40,23,38,18
2026-03-31 00:00:00+00:00,7,5,32,11
2026-04-01 00:00:00+00:00,14,7,27,17
2026-04-02 00:00:00+00:00,5,5,13,8
